,ciudad,cliente,cluster,recomendados
3,TUNJA,313324,3401.0,CAMISETA MANGA LARGA
4,TUNJA,313324,3401.0,OVERALL LARGO
0,TUNJA,319328,3401.0,DENIM
1,TUNJA,319328,3401.0,CAMISETA MANGA LARGA
2,TUNJA,319328,3401.0,BOTAS
3,TUNJA,319328,3401.0,PANTALON
4,TUNJA,319328,3401.0,BOXER
0,TUNJA,324895,3401.0,BOLSO
1,TUNJA,324895,3401.0,CONJUNTO LARGO
2,TUNJA,324895,3401.0,OTROS
3,TUNJA,324895,3401.0,RELOJ
0,TUNJA,327325,3401.0,ZAPATOS COSIDOS
1,TUNJA,327325,3401.0,CAMISA MANGA CORTA
2,TUNJA,327325,3401.0,OTROS
3,TUNJA,327325,3401.0,CAMISA MANGA LARGA
4,TUNJA,327325,3401.0,CAMISETA MANGA CORTA
0,TUNJA,335823,3401.0,BOLSITA
1,TUNJA,335823,3401.0,CAMISETA MANGA CORTA
2,TUNJA,335823,3401.0,CUIDADO PERSONAL
3,TUNJA,335823,3401.0,CAMISA MANGA LARGA
4,TUNJA,335823,3401.0,DENIM
0,TUNJA,350001,3401.0,CHAQUETA
0,TUNJA,351070,3401.0,CAMISETA MANGA CORTA
1,TUNJA,351070,3401.0,CAMISA MANGA LARGA
36,TUNJA,377274,3401.0,CAMISETA MANGA CORTA
61,TUNJA,377274,3401.0,DENIM
138,TUNJA,377274,3401.0,TENIS
98,TUNJA,377274,3401.0,PANTALON
31,TUNJA,377274,3401.0,CAMISA MANGA LARGA
0,TUNJA,40013115,3401.0,OVERALL CORTO
1,TUNJA,40013115,3401.0,TENIS
2,TUNJA,40013115,3401.0,CHAQUETA
3,TUNJA,40013115,3401.0,CORBATA
4,TUNJA,40013115,3401.0,CORREA
0,TUNJA,40022123,3401.0,VESTIDO MANGA CORTA
1,TUNJA,40022123,3401.0,DENIM
2,TUNJA,40022123,3401.0,SUDADERA
3,TUNJA,40022123,3401.0,VESTIDO MANGA SISA
4,TUNJA,40022123,3401.0,BUZO
0,TUNJA,40024781,3401.0,BUZO
1,TUNJA,40024781,3401.0,CUIDADO PERSONAL
2,TUNJA,40024781,3401.0,PANTALON
3,TUNJA,40024781,3401.0,BOXER
4,TUNJA,40024781,3401.0,CAMISETA MANGA CORTA
0,TUNJA,40029902,3401.0,CAMISA MANGA LARGA
1,TUNJA,40029902,3401.0,CAMISETA MANGA LARGA
2,TUNJA,40029902,3401.0,DENIM
3,TUNJA,40029902,3401.0,SUDADERA
4,TUNJA,40029902,3401.0,BOTAS
0,TUNJA,40031237,3401.0,BOLSITA
1,TUNJA,40031237,3401.0,OVERALL CORTO
2,TUNJA,40031237,3401.0,OVERALL LARGO
3,TUNJA,40031237,3401.0,PANTALON
4,TUNJA,40031237,3401.0,PANTY RETRO
0,TUNJA,40031288,3401.0,CAMISETA MANGA LARGA
1,TUNJA,40031288,3401.0,DENIM
2,TUNJA,40031288,3401.0,OVERALL CORTO
3,TUNJA,40031288,3401.0,CAMISA MANGA CORTA
4,TUNJA,40031288,3401.0,TENIS
0,TUNJA,40031356,3401.0,OVERALL LARGO
1,TUNJA,40031356,3401.0,CAMISA MANGA CORTA
2,TUNJA,40031356,3401.0,BOTAS
3,TUNJA,40031356,3401.0,CAMISA MANGA LARGA
4,TUNJA,40031356,3401.0,CONJUNTO CORTO
0,TUNJA,40031367,3401.0,CAMISETA MANGA LARGA
1,TUNJA,40031367,3401.0,CAMISA MANGA LARGA
2,TUNJA,40031367,3401.0,BOXER
3,TUNJA,40031367,3401.0,CAMISETA MANGA CORTA
4,TUNJA,40031367,3401.0,CUIDADO PERSONAL
0,TUNJA,40031372,3401.0,LEGGINGS
1,TUNJA,40031372,3401.0,CAMISETA POLO
2,TUNJA,40031372,3401.0,CAMISA MANGA CORTA
3,TUNJA,40031372,3401.0,SUDADERA
4,TUNJA,40031372,3401.0,CONJUNTO LARGO
0,TUNJA,40031399,3401.0,BUZO
1,TUNJA,40031399,3401.0,DENIM
2,TUNJA,40031399,3401.0,PANTALON
3,TUNJA,40031399,3401.0,CAMISETA MANGA CORTA
4,TUNJA,40031399,3401.0,TENIS
0,TUNJA,40031407,3401.0,CARTUCHERA
1,TUNJA,40031407,3401.0,CHAQUETA
2,TUNJA,40031407,3401.0,DENIM
3,TUNJA,40031407,3401.0,CAMISA MANGA CORTA
4,TUNJA,40031407,3401.0,CONJUNTO LARGO
0,TUNJA,40031460,3401.0,TOBILLERA
1,TUNJA,40031460,3401.0,CAMISA MANGA CORTA
2,TUNJA,40031460,3401.0,CAMISETA MANGA SISA
3,TUNJA,40031460,3401.0,TENIS
4,TUNJA,40031460,3401.0,CUIDADO PERSONAL
0,TUNJA,40031546,3401.0,CAMISETA MANGA CORTA
1,TUNJA,40031546,3401.0,CAMISETA MANGA LARGA
2,TUNJA,40031546,3401.0,OTROS
3,TUNJA,40031546,3401.0,SUDADERA
4,TUNJA,40031546,3401.0,BOLSITA
0,TUNJA,40031555,3401.0,BUZO
1,TUNJA,40031555,3401.0,CAMISA MANGA CORTA
2,TUNJA,40031555,3401.0,CHAQUETA
3,TUNJA,40031555,3401.0,ZAPATOS PRECAMINADOR
4,TUNJA,40031555,3401.0,CHALECO
0,TUNJA,40031805,3401.0,BUZO
1,TUNJA,40031805,3401.0,CAMISETA MANGA CORTA
2,TUNJA,40031805,3401.0,OTROS
3,TUNJA,40031805,3401.0,PANTALON
4,TUNJA,40031805,3401.0,CAMISA MANGA CORTA
0,TUNJA,40031921,3401.0,CHAQUETA
1,TUNJA,40031921,3401.0,SUDADERA
2,TUNJA,40031921,3401.0,CAMISETA MANGA LARGA
3,TUNJA,40031921,3401.0,CAMISETA MANGA SISA
4,TUNJA,40031921,3401.0,CONJUNTO LARGO
0,TUNJA,40032171,3401.0,CAMISETA MANGA LARGA
1,TUNJA,40032171,3401.0,PANTALON
2,TUNJA,40032171,3401.0,CAMISETA MANGA SISA
3,TUNJA,40032171,3401.0,TENIS
4,TUNJA,40032171,3401.0,CAÑA LARGA
0,TUNJA,40032401,3401.0,CAMISETA MANGA CORTA
1,TUNJA,40032401,3401.0,CHAQUETA
2,TUNJA,40032401,3401.0,SUDADERA
3,TUNJA,40032401,3401.0,OTROS
4,TUNJA,40032401,3401.0,PANTALON
0,TUNJA,40032433,3401.0,TENIS
1,TUNJA,40032433,3401.0,BUZO
2,TUNJA,40032433,3401.0,CAÑA LARGA
0,TUNJA,40033148,3401.0,SUDADERA
1,TUNJA,40033148,3401.0,DENIM
2,TUNJA,40033148,3401.0,CAMISA MANGA LARGA
3,TUNJA,40033148,3401.0,PANTALON
4,TUNJA,40033148,3401.0,BERMUDA
0,TUNJA,40033486,3401.0,CAMISETA MANGA CORTA
1,TUNJA,40033486,3401.0,DENIM
2,TUNJA,40033486,3401.0,PANTALON
3,TUNJA,40033486,3401.0,CAMISA MANGA LARGA
4,TUNJA,40033486,3401.0,CUIDADO PERSONAL
0,TUNJA,40033513,3401.0,RELOJ
1,TUNJA,40033513,3401.0,CAMISETA MANGA LARGA
2,TUNJA,40033513,3401.0,VESTIDO ENTERO
3,TUNJA,40033513,3401.0,CAMISETA MANGA CORTA
4,TUNJA,40033513,3401.0,CAMISA MANGA CORTA
0,TUNJA,40033536,3401.0,BUZO
1,TUNJA,40033536,3401.0,PANTALON
2,TUNJA,40033536,3401.0,CONJUNTO LARGO
3,TUNJA,40033536,3401.0,TENIS
4,TUNJA,40033536,3401.0,AGUA DE LINOS
0,TUNJA,40033611,3401.0,OVERALL LARGO
1,TUNJA,40033611,3401.0,CAMISETA MANGA LARGA
2,TUNJA,40033611,3401.0,CAMISETA MANGA CORTA
3,TUNJA,40033611,3401.0,CAMISETA POLO
4,TUNJA,40033611,3401.0,CUIDADO PERSONAL
0,TUNJA,40033664,3401.0,BUZO
1,TUNJA,40033664,3401.0,CAMISETA MANGA CORTA
2,TUNJA,40033664,3401.0,CAMISETA MANGA LARGA
3,TUNJA,40033664,3401.0,TOBILLERA
4,TUNJA,40033664,3401.0,PANTALON
36,TUNJA,40033790,3401.0,CAMISETA MANGA CORTA
61,TUNJA,40033790,3401.0,DENIM
138,TUNJA,40033790,3401.0,TENIS
98,TUNJA,40033790,3401.0,PANTALON
31,TUNJA,40033790,3401.0,CAMISA MANGA LARGA
0,TUNJA,40037217,3401.0,BODY MANGA LARGA
1,TUNJA,40037217,3401.0,BERMUDA
2,TUNJA,40037217,3401.0,PANTALONETA
